track_id,action,from_path,to_path,reason,confidence
1d8a982fea1b2b114b6f040a88396330,quarantine,A:\music\_Quarantine\Junk\A Day To Remember - A Day To Remember - The Downfall of Us All (Official Video) [CN4IIgFz93k].m4a,A:\music\_Quarantine\Junk\A Day To Remember - A Day To Remember - The Downfall of Us All (Official Video) [CN4IIgFz93k].m4a,Junk file (confidence: 0.80),0.7999999999999999
b56d4b5a2988efdfad60c84a6b151363,quarantine,A:\music\_Quarantine\Junk\Bear Hands - Bear Hands - Giants (Official Music Video) [xadxu7tZJrg].m4a,A:\music\_Quarantine\Junk\Bear Hands - Bear Hands - Giants (Official Music Video) [xadxu7tZJrg].m4a,Junk file (confidence: 0.80),0.7999999999999999
c80380ffc5efde9d4b54c5859689845c,ignore,A:\music\Active Music\Childish Gambino\Camp (20241001)\00 - Bonfire.m4a,A:\music\Active Music\Childish Gambino\Camp (20241001)\00 - Bonfire.m4a,Already in correct location,1.0
e84ec4dfa248ed73f7f1a2a8eafc3a11,ignore,A:\music\Active Music\Childish Gambino\Because the Internet (20241001)\00 - I.Crawl.m4a,A:\music\Active Music\Childish Gambino\Because the Internet (20241001)\00 - I.Crawl.m4a,Already in correct location,1.0
e5c2dec8c8c440d39ee649a7f36f6a1d,ignore,"A:\music\Active Music\Childish Gambino, Jason Martin\Because the Internet (20241001)\00 - IV. Sweatpants.m4a","A:\music\Active Music\Childish Gambino, Jason Martin\Because the Internet (20241001)\00 - IV. Sweatpants.m4a",Already in correct location,1.0
